x,y,flux(W/m2)
-3.96,3.96,0.00372505
-3.88,3.96,0.00279379
-3.8,3.96,0.0041907
-3.72,3.96,0.00349225
-3.64,3.96,0.00628606
-3.56,3.96,0.00419071
-3.48,3.96,0.00488917
-3.4,3.96,0.00465635
-3.32,3.96,0.0065189
-3.24,3.96,0.00419073
-3.16,3.96,0.00535483
-3.08,3.96,0.00675174
-3,3.96,0.00535484
-2.92,3.96,0.00675176
-2.84,3.96,0.00535485
-2.76,3.96,0.00442357
-2.68,3.96,0.00768305
-2.6,3.96,0.00558768
-2.52,3.96,0.00605332
-2.44,3.96,0.00651897
-2.36,3.96,0.0067518
-2.28,3.96,0.00768309
-2.2,3.96,0.00628617
-2.12,3.96,0.00814874
-2.04,3.96,0.00628617
-1.96,3.96,0.00814875
-1.88,3.96,0.00861439
-1.8,3.96,0.00838158
-1.72,3.96,0.00698466
-1.64,3.96,0.00791595
-1.56,3.96,0.00651902
-1.48,3.96,0.00721749
-1.4,3.96,0.0107098
-1.32,3.96,0.00954572
-1.24,3.96,0.00908008
-1.16,3.96,0.00814879
-1.08,3.96,0.00884726
-1,3.96,0.0107098
-0.92,3.96,0.0111755
-0.84,3.96,0.00791598
-0.76,3.96,0.0100114
-0.68,3.96,0.0090801
-0.6,3.96,0.0100114
-0.52,3.96,0.00884728
-0.44,3.96,0.00861446
-0.36,3.96,0.0107099
-0.28,3.96,0.00954575
-0.2,3.96,0.0114083
-0.12,3.96,0.00931293
-0.04,3.96,0.0100114
0.04,3.96,0.0107099
0.12,3.96,0.0109427
0.2,3.96,0.00861446
0.28,3.96,0.00884728
0.36,3.96,0.00884728
0.44,3.96,0.00884728
0.52,3.96,0.010477
0.6,3.96,0.0102442
0.68,3.96,0.00931292
0.76,3.96,0.00884727
0.84,3.96,0.0081488
0.92,3.96,0.00628622
1,3.96,0.00698468
1.08,3.96,0.00628621
1.16,3.96,0.00861443
1.24,3.96,0.00651903
1.32,3.96,0.00605338
1.4,3.96,0.00651902
1.48,3.96,0.00791596
1.56,3.96,0.00908006
1.64,3.96,0.00977852
1.72,3.96,0.00628619
1.8,3.96,0.00651901
1.88,3.96,0.00488925
1.96,3.96,0.00628618
2.04,3.96,0.0032595
2.12,3.96,0.00791592
2.2,3.96,0.00605334
2.28,3.96,0.00838155
2.36,3.96,0.00698462
2.44,3.96,0.00745026
2.52,3.96,0.00582051
2.6,3.96,0.00721742
2.68,3.96,0.00628613
2.76,3.96,0.00558767
2.84,3.96,0.00768304
2.92,3.96,0.00721739
3,3.96,0.00838148
3.08,3.96,0.00605329
3.16,3.96,0.00838147
3.24,3.96,0.00279382
3.32,3.96,0.00582045
3.4,3.96,0.00698453
3.48,3.96,0.00419071
3.56,3.96,0.00302662
3.64,3.96,0.00558761
3.72,3.96,0.0055876
3.8,3.96,0.00395788
3.88,3.96,0.00558759
3.96,3.96,0.00279379
-3.96,3.88,0.00488914
-3.88,3.88,0.00302661
-3.8,3.88,0.00465633
-3.72,3.88,0.00651887
-3.64,3.88,0.00465635
-3.56,3.88,0.00419072
-3.48,3.88,0.00582044
-3.4,3.88,0.00675172
-3.32,3.88,0.00838146
-3.24,3.88,0.00582046
-3.16,3.88,0.00349228
-3.08,3.88,0.00582048
-3,3.88,0.00442357
-2.92,3.88,0.00675177
-2.84,3.88,0.00605331
-2.76,3.88,0.00605332
-2.68,3.88,0.0058205
-2.6,3.88,0.00907999
-2.52,3.88,0.00954564
-2.44,3.88,0.0067518
-2.36,3.88,0.00675181
-2.28,3.88,0.00861438
-2.2,3.88,0.00582053
-2.12,3.88,0.00628618
-2.04,3.88,0.00558772
-1.96,3.88,0.00791594
-1.88,3.88,0.00768312
-1.8,3.88,0.00861441
-1.72,3.88,0.00745031
-1.64,3.88,0.00861442
-1.56,3.88,0.00814878
-1.48,3.88,0.00675185
-1.4,3.88,0.0102442
-1.32,3.88,0.0111755
-1.24,3.88,0.0132709
-1.16,3.88,0.010477
-1.08,3.88,0.00977857
-1,3.88,0.00768316
-0.92,3.88,0.00745034
-0.84,3.88,0.0109427
-0.76,3.88,0.0109427
-0.68,3.88,0.00954576
-0.6,3.88,0.0107099
-0.52,3.88,0.00884729
-0.44,3.88,0.0104771
-0.36,3.88,0.0111755
-0.28,3.88,0.00977858
-0.2,3.88,0.00954576
-0.12,3.88,0.007916
-0.04,3.88,0.00931294
0.04,3.88,0.0111755
0.12,3.88,0.0104771
0.2,3.88,0.00931294
0.28,3.88,0.00908011
0.36,3.88,0.0102442
0.44,3.88,0.0069847
0.52,3.88,0.0102442
0.6,3.88,0.00861446
0.68,3.88,0.00931293
0.76,3.88,0.0102442
0.84,3.88,0.00721752
0.92,3.88,0.00558775
1,3.88,0.00977857
1.08,3.88,0.00977856
1.16,3.88,0.00931291
1.24,3.88,0.00977856
1.32,3.88,0.0116411
1.4,3.88,0.0107098
1.48,3.88,0.00884725
1.56,3.88,0.0093129
1.64,3.88,0.00814878
1.72,3.88,0.00977853
1.8,3.88,0.00628619
1.88,3.88,0.00768312
1.96,3.88,0.00931287
2.04,3.88,0.00745029
2.12,3.88,0.00954568
2.2,3.88,0.00838157
2.28,3.88,0.00931284
2.36,3.88,0.00791591
2.44,3.88,0.00745026
2.52,3.88,0.0067518
2.6,3.88,0.00838153
2.68,3.88,0.00558768
2.76,3.88,0.00675178
2.84,3.88,0.00628613
2.92,3.88,0.00884714
3,3.88,0.00419075
3.08,3.88,0.00745021
3.16,3.88,0.00628611
3.24,3.88,0.00582046
3.32,3.88,0.00838146
3.4,3.88,0.00651891
3.48,3.88,0.0039579
3.56,3.88,0.00419072
3.64,3.88,0.00512198
3.72,3.88,0.00512197
3.8,3.88,0.00325943
3.88,3.88,0.00558759
3.96,3.88,0.0058204
-3.96,3.8,0.00558759
-3.88,3.8,0.0069845
-3.8,3.8,0.00651888
-3.72,3.8,0.00582043
-3.64,3.8,0.00558762
-3.56,3.8,0.00558763
-3.48,3.8,0.00675172
-3.4,3.8,0.00465637
-3.32,3.8,0.0074502
-3.24,3.8,0.00931275
-3.16,3.8,0.00582048
-3.08,3.8,0.00675176
-3,3.8,0.00349229
-2.92,3.8,0.00651896
-2.84,3.8,0.00628614
-2.76,3.8,0.00861435
-2.68,3.8,0.00814871
-2.6,3.8,0.00582051
-2.52,3.8,0.00838155
-2.44,3.8,0.00675181
-2.36,3.8,0.00675181
-2.28,3.8,0.00698464
-2.2,3.8,0.00698465
-2.12,3.8,0.00791594
-2.04,3.8,0.00908005
-1.96,3.8,0.00721748
-1.88,3.8,0.00582055
-1.8,3.8,0.00582056
-1.72,3.8,0.00954572
-1.64,3.8,0.0100114
-1.56,3.8,0.0102442
-1.48,3.8,0.00908009
-1.4,3.8,0.00977856
-1.32,3.8,0.0116412
-1.24,3.8,0.00768316
-1.16,3.8,0.00814881
-1.08,3.8,0.010477
-1,3.8,0.00814882
-0.92,3.8,0.00977858
-0.84,3.8,0.0102442
-0.76,3.8,0.00884729
-0.68,3.8,0.0107099
-0.6,3.8,0.0123396
-0.52,3.8,0.00861447
-0.44,3.8,0.0102442
-0.36,3.8,0.0107099
-0.28,3.8,0.0123397
-0.2,3.8,0.0104771
-0.12,3.8,0.0128053
-0.04,3.8,0.0121068
0.04,3.8,0.0102442
0.12,3.8,0.0128053
0.2,3.8,0.0097786
0.28,3.8,0.0109427
0.36,3.8,0.0102442
0.44,3.8,0.0125725
0.52,3.8,0.0088473
0.6,3.8,0.0107099
0.68,3.8,0.00931294
0.76,3.8,0.0102442
0.84,3.8,0.00977858
0.92,3.8,0.00884729
1,3.8,0.0109427
1.08,3.8,0.00977858
1.16,3.8,0.011874
1.24,3.8,0.00977857
1.32,3.8,0.00861445
1.4,3.8,0.0109427
1.48,3.8,0.00698468
1.56,3.8,0.0109427
1.64,3.8,0.00861443
1.72,3.8,0.00908007
1.8,3.8,0.0062862
1.88,3.8,0.00675184
1.96,3.8,0.00884724
2.04,3.8,0.0100113
2.12,3.8,0.00791594
2.2,3.8,0.00745029
2.28,3.8,0.00605336
2.36,3.8,0.00721746
2.44,3.8,0.00745027
2.52,3.8,0.00838155
2.6,3.8,0.00745026
2.68,3.8,0.00675179
2.76,3.8,0.00558768
2.84,3.8,0.00651896
2.92,3.8,0.00582049
3,3.8,0.00465639
3.08,3.8,0.0048892
3.16,3.8,0.00558766
3.24,3.8,0.00768302
3.32,3.8,0.00535483
3.4,3.8,0.00535482
3.48,3.8,0.00628609
3.56,3.8,0.0039579
3.64,3.8,0.00465635
3.72,3.8,0.00605325
3.8,3.8,0.00465634
3.88,3.8,0.00651887
3.96,3.8,0.00675168
-3.96,3.72,0.0055876
-3.88,3.72,0.0027938
-3.8,3.72,0.00512198
-3.72,3.72,0.00954552
-3.64,3.72,0.00628608
-3.56,3.72,0.00582045
-3.48,3.72,0.00558764
-3.4,3.72,0.00488919
-3.32,3.72,0.00605329
-3.24,3.72,0.00512202
-3.16,3.72,0.00628612
-3.08,3.72,0.00628613
-3,3.72,0.00442358
-2.92,3.72,0.00395794
-2.84,3.72,0.00814871
-2.76,3.72,0.00628615
-2.68,3.72,0.0067518
-2.6,3.72,0.00861437
-2.52,3.72,0.00931284
-2.44,3.72,0.00605335
-2.36,3.72,0.00745029
-2.28,3.72,0.00628618
-2.2,3.72,0.00791594
-2.12,3.72,0.00861441
-2.04,3.72,0.010477
-1.96,3.72,0.00884725
-1.88,3.72,0.00954572
-1.8,3.72,0.010477
-1.72,3.72,0.00908009
-1.64,3.72,0.0081488
-1.56,3.72,0.00768316
-1.48,3.72,0.0111755
-1.4,3.72,0.00651905
-1.32,3.72,0.00954576
-1.24,3.72,0.0111755
-1.16,3.72,0.0100114
-1.08,3.72,0.0100114
-1,3.72,0.0107099
-0.92,3.72,0.0109427
-0.84,3.72,0.0116412
-0.76,3.72,0.0137366
-0.68,3.72,0.0116412
-0.6,3.72,0.011874
-0.52,3.72,0.0102443
-0.44,3.72,0.0104771
-0.36,3.72,0.00931296
-0.28,3.72,0.0104771
-0.2,3.72,0.0125725
-0.12,3.72,0.0107099
-0.04,3.72,0.00977862
0.04,3.72,0.00814884
0.12,3.72,0.0107099
0.2,3.72,0.00931296
0.28,3.72,0.00814884
0.36,3.72,0.0130382
0.44,3.72,0.0144351
0.52,3.72,0.0139694
0.6,3.72,0.0107099
0.68,3.72,0.0104771
0.76,3.72,0.0088473
0.84,3.72,0.0104771
0.92,3.72,0.0116412
1,3.72,0.00931294
1.08,3.72,0.0102442
1.16,3.72,0.0123396
1.24,3.72,0.0114083
1.32,3.72,0.00954576
1.4,3.72,0.0109427
1.48,3.72,0.00954575
