x,y,flux(W/m2)
-3.96,3.96,0
-3.88,3.96,0
-3.8,3.96,0
-3.72,3.96,0
-3.64,3.96,0
-3.56,3.96,0
-3.48,3.96,0.000465635
-3.4,3.96,0.000232818
-3.32,3.96,0.000232818
-3.24,3.96,0
-3.16,3.96,0.000465637
-3.08,3.96,0.000232819
-3,3.96,0.000465638
-2.92,3.96,0.000232819
-2.84,3.96,0
-2.76,3.96,0.00023282
-2.68,3.96,0.00023282
-2.6,3.96,0
-2.52,3.96,0.00023282
-2.44,3.96,0
-2.36,3.96,0.000465641
-2.28,3.96,0
-2.2,3.96,0
-2.12,3.96,0.000232821
-2.04,3.96,0.000232821
-1.96,3.96,0.000232821
-1.88,3.96,0.000232822
-1.8,3.96,0.000232822
-1.72,3.96,0.000465644
-1.64,3.96,0.000232822
-1.56,3.96,0.000465644
-1.48,3.96,0
-1.4,3.96,0.000232822
-1.32,3.96,0.000232822
-1.24,3.96,0
-1.16,3.96,0.000698468
-1.08,3.96,0
-1,3.96,0.000232823
-0.92,3.96,0.000232823
-0.84,3.96,0.000232823
-0.76,3.96,0.000232823
-0.68,3.96,0
-0.6,3.96,0.000232823
-0.52,3.96,0.000232823
-0.44,3.96,0
-0.36,3.96,0.000232823
-0.28,3.96,0
-0.2,3.96,0.000232823
-0.12,3.96,0
-0.04,3.96,0
0.04,3.96,0
0.12,3.96,0.000698469
0.2,3.96,0.000232823
0.28,3.96,0.000232823
0.36,3.96,0
0.44,3.96,0.000232823
0.52,3.96,0
0.6,3.96,0
0.68,3.96,0
0.76,3.96,0
0.84,3.96,0.000698469
0.92,3.96,0.000232823
1,3.96,0.000232823
1.08,3.96,0
1.16,3.96,0
1.24,3.96,0.000232822
1.32,3.96,0
1.4,3.96,0
1.48,3.96,0.000232822
1.56,3.96,0.000465644
1.64,3.96,0
1.72,3.96,0.000232822
1.8,3.96,0.000232822
1.88,3.96,0.000232822
1.96,3.96,0
2.04,3.96,0.000232821
2.12,3.96,0.000465642
2.2,3.96,0.000465642
2.28,3.96,0
2.36,3.96,0
2.44,3.96,0.00023282
2.52,3.96,0.00023282
2.6,3.96,0.00023282
2.68,3.96,0.00023282
2.76,3.96,0
2.84,3.96,0.000232819
2.92,3.96,0.000232819
3,3.96,0
3.08,3.96,0
3.16,3.96,0
3.24,3.96,0
3.32,3.96,0
3.4,3.96,0
3.48,3.96,0
3.56,3.96,0.000232817
3.64,3.96,0
3.72,3.96,0
3.8,3.96,0
3.88,3.96,0.000232816
3.96,3.96,0
-3.96,3.88,0
-3.88,3.88,0
-3.8,3.88,0.000232817
-3.72,3.88,0.000232817
-3.64,3.88,0
-3.56,3.88,0
-3.48,3.88,0.000232818
-3.4,3.88,0
-3.32,3.88,0.000931273
-3.24,3.88,0
-3.16,3.88,0.000232819
-3.08,3.88,0
-3,3.88,0.000232819
-2.92,3.88,0.00023282
-2.84,3.88,0
-2.76,3.88,0
-2.68,3.88,0
-2.6,3.88,0.00023282
-2.52,3.88,0.000232821
-2.44,3.88,0
-2.36,3.88,0
-2.28,3.88,0
-2.2,3.88,0.000232821
-2.12,3.88,0
-2.04,3.88,0
-1.96,3.88,0
-1.88,3.88,0.000232822
-1.8,3.88,0.000232822
-1.72,3.88,0
-1.64,3.88,0.000232822
-1.56,3.88,0
-1.48,3.88,0
-1.4,3.88,0.000232823
-1.32,3.88,0
-1.24,3.88,0
-1.16,3.88,0.000232823
-1.08,3.88,0.000232823
-1,3.88,0
-0.92,3.88,0.000232823
-0.84,3.88,0.000232823
-0.76,3.88,0
-0.68,3.88,0
-0.6,3.88,0.000232823
-0.52,3.88,0.000465647
-0.44,3.88,0
-0.36,3.88,0
-0.28,3.88,0.000232824
-0.2,3.88,0.000232823
-0.12,3.88,0
-0.04,3.88,0.000465647
0.04,3.88,0
0.12,3.88,0
0.2,3.88,0.000465647
0.28,3.88,0
0.36,3.88,0.000232823
0.44,3.88,0
0.52,3.88,0
0.6,3.88,0.000232823
0.68,3.88,0.000232823
0.76,3.88,0
0.84,3.88,0.000232823
0.92,3.88,0
1,3.88,0.000465646
1.08,3.88,0
1.16,3.88,0
1.24,3.88,0.000232823
1.32,3.88,0
1.4,3.88,0
1.48,3.88,0.000232823
1.56,3.88,0
1.64,3.88,0.000232822
1.72,3.88,0.000465644
1.8,3.88,0.000232822
1.88,3.88,0
1.96,3.88,0
2.04,3.88,0
2.12,3.88,0
2.2,3.88,0
2.28,3.88,0
2.36,3.88,0
2.44,3.88,0
2.52,3.88,0
2.6,3.88,0.00023282
2.68,3.88,0
2.76,3.88,0.00023282
2.84,3.88,0
2.92,3.88,0
3,3.88,0.000232819
3.08,3.88,0
3.16,3.88,0
3.24,3.88,0
3.32,3.88,0.000232818
3.4,3.88,0
3.48,3.88,0
3.56,3.88,0
3.64,3.88,0
3.72,3.88,0
3.8,3.88,0
3.88,3.88,0
3.96,3.88,0
-3.96,3.8,0
-3.88,3.8,0
-3.8,3.8,0.000232817
-3.72,3.8,0.000232817
-3.64,3.8,0.000232818
-3.56,3.8,0
-3.48,3.8,0.000232818
-3.4,3.8,0
-3.32,3.8,0
-3.24,3.8,0
-3.16,3.8,0.000232819
-3.08,3.8,0
-3,3.8,0.00023282
-2.92,3.8,0
-2.84,3.8,0
-2.76,3.8,0
-2.68,3.8,0.000465641
-2.6,3.8,0.000232821
-2.52,3.8,0.000232821
-2.44,3.8,0.000465642
-2.36,3.8,0
-2.28,3.8,0.000232821
-2.2,3.8,0.000232821
-2.12,3.8,0
-2.04,3.8,0
-1.96,3.8,0.000232822
-1.88,3.8,0.000232822
-1.8,3.8,0.000232822
-1.72,3.8,0.000232823
-1.64,3.8,0
-1.56,3.8,0.000232823
-1.48,3.8,0.000232823
-1.4,3.8,0.000232823
-1.32,3.8,0
-1.24,3.8,0
-1.16,3.8,0
-1.08,3.8,0
-1,3.8,0.000232823
-0.92,3.8,0
-0.84,3.8,0.000232824
-0.76,3.8,0
-0.68,3.8,0.000465647
-0.6,3.8,0
-0.52,3.8,0
-0.44,3.8,0.000465647
-0.36,3.8,0
-0.28,3.8,0.000232824
-0.2,3.8,0
-0.12,3.8,0
-0.04,3.8,0
0.04,3.8,0
0.12,3.8,0.000232824
0.2,3.8,0.000232824
0.28,3.8,0
0.36,3.8,0.000232824
0.44,3.8,0
0.52,3.8,0
0.6,3.8,0
0.68,3.8,0.000232824
0.76,3.8,0.000232824
0.84,3.8,0.00069847
0.92,3.8,0
1,3.8,0.000232823
1.08,3.8,0.000465646
1.16,3.8,0.000232823
1.24,3.8,0.000931292
1.32,3.8,0.000465646
1.4,3.8,0.000465646
1.48,3.8,0.000232823
1.56,3.8,0
1.64,3.8,0
1.72,3.8,0
1.8,3.8,0.000232822
1.88,3.8,0.000232822
1.96,3.8,0
2.04,3.8,0
2.12,3.8,0
2.2,3.8,0
2.28,3.8,0.000232821
2.36,3.8,0
2.44,3.8,0
2.52,3.8,0.000232821
2.6,3.8,0
2.68,3.8,0
2.76,3.8,0
2.84,3.8,0.00023282
2.92,3.8,0.000465639
3,3.8,0
3.08,3.8,0
3.16,3.8,0
3.24,3.8,0
3.32,3.8,0.000232819
3.4,3.8,0
3.48,3.8,0
3.56,3.8,0.000232818
3.64,3.8,0
3.72,3.8,0
3.8,3.8,0
3.88,3.8,0
3.96,3.8,0
-3.96,3.72,0
-3.88,3.72,0.000232817
-3.8,3.72,0.000232817
-3.72,3.72,0.000232818
-3.64,3.72,0.000232818
-3.56,3.72,0
-3.48,3.72,0.000232818
-3.4,3.72,0
-3.32,3.72,0
-3.24,3.72,0
-3.16,3.72,0
-3.08,3.72,0
-3,3.72,0
-2.92,3.72,0
-2.84,3.72,0
-2.76,3.72,0.00023282
-2.68,3.72,0.000232821
-2.6,3.72,0
-2.52,3.72,0
-2.44,3.72,0
-2.36,3.72,0.000232822
-2.28,3.72,0.000232822
-2.2,3.72,0.000232822
-2.12,3.72,0
-2.04,3.72,0
-1.96,3.72,0
-1.88,3.72,0
-1.8,3.72,0
-1.72,3.72,0
-1.64,3.72,0
-1.56,3.72,0.000232823
-1.48,3.72,0.000232823
-1.4,3.72,0.000232823
-1.32,3.72,0.000232823
-1.24,3.72,0.000465647
-1.16,3.72,0
-1.08,3.72,0
-1,3.72,0
-0.92,3.72,0
-0.84,3.72,0
-0.76,3.72,0
-0.68,3.72,0.000465648
-0.6,3.72,0
-0.52,3.72,0
-0.44,3.72,0
-0.36,3.72,0
-0.28,3.72,0
-0.2,3.72,0.000232824
-0.12,3.72,0.000232824
-0.04,3.72,0
0.04,3.72,0.000465648
0.12,3.72,0
0.2,3.72,0.000465648
0.28,3.72,0.000465648
0.36,3.72,0.000232824
0.44,3.72,0.000698472
0.52,3.72,0.000232824
0.6,3.72,0
0.68,3.72,0
0.76,3.72,0
0.84,3.72,0
0.92,3.72,0
1,3.72,0
1.08,3.72,0.000232823
1.16,3.72,0
1.24,3.72,0.000232824
1.32,3.72,0.000232823
1.4,3.72,0
1.48,3.72,0.000465646
