x,y,flux(W/m2)
-3.96,3.96,0.333159
-3.88,3.96,0.338847
-3.8,3.96,0.345657
-3.72,3.96,0.354797
-3.64,3.96,0.366373
-3.56,3.96,0.377755
-3.48,3.96,0.389559
-3.4,3.96,0.401833
-3.32,3.96,0.411747
-3.24,3.96,0.423762
-3.16,3.96,0.434793
-3.08,3.96,0.445889
-3,3.96,0.457875
-2.92,3.96,0.469479
-2.84,3.96,0.486702
-2.76,3.96,0.499395
-2.68,3.96,0.512795
-2.6,3.96,0.525549
-2.52,3.96,0.538228
-2.44,3.96,0.549242
-2.36,3.96,0.561172
-2.28,3.96,0.573623
-2.2,3.96,0.584395
-2.12,3.96,0.596828
-2.04,3.96,0.610459
-1.96,3.96,0.621896
-1.88,3.96,0.632508
-1.8,3.96,0.641959
-1.72,3.96,0.651923
-1.64,3.96,0.663039
-1.56,3.96,0.674636
-1.48,3.96,0.68308
-1.4,3.96,0.690672
-1.32,3.96,0.698366
-1.24,3.96,0.707399
-1.16,3.96,0.711407
-1.08,3.96,0.715004
-1,3.96,0.722812
-0.92,3.96,0.726835
-0.84,3.96,0.735495
-0.76,3.96,0.739505
-0.68,3.96,0.744239
-0.6,3.96,0.749452
-0.52,3.96,0.754275
-0.44,3.96,0.754315
-0.36,3.96,0.754365
-0.28,3.96,0.75997
-0.2,3.96,0.763488
-0.12,3.96,0.769198
-0.04,3.96,0.774156
0.04,3.96,0.775754
0.12,3.96,0.774885
0.2,3.96,0.773152
0.28,3.96,0.770722
0.36,3.96,0.767189
0.44,3.96,0.762301
0.52,3.96,0.758078
0.6,3.96,0.753691
0.68,3.96,0.750232
0.76,3.96,0.744423
0.84,3.96,0.737048
0.92,3.96,0.728721
1,3.96,0.722114
1.08,3.96,0.717457
1.16,3.96,0.707858
1.24,3.96,0.701225
1.32,3.96,0.695668
1.4,3.96,0.683172
1.48,3.96,0.67514
1.56,3.96,0.665397
1.64,3.96,0.656335
1.72,3.96,0.64644
1.8,3.96,0.636173
1.88,3.96,0.626752
1.96,3.96,0.616693
2.04,3.96,0.605892
2.12,3.96,0.596653
2.2,3.96,0.586565
2.28,3.96,0.577097
2.36,3.96,0.562202
2.44,3.96,0.549819
2.52,3.96,0.538886
2.6,3.96,0.526701
2.68,3.96,0.514133
2.76,3.96,0.501041
2.84,3.96,0.488949
2.92,3.96,0.475118
3,3.96,0.462247
3.08,3.96,0.449597
3.16,3.96,0.437741
3.24,3.96,0.426588
3.32,3.96,0.412917
3.4,3.96,0.398958
3.48,3.96,0.384853
3.56,3.96,0.372285
3.64,3.96,0.361428
3.72,3.96,0.351893
3.8,3.96,0.344668
3.88,3.96,0.33964
3.96,3.96,0.330745
-3.96,3.88,0.337958
-3.88,3.88,0.342765
-3.8,3.88,0.349911
-3.72,3.88,0.360495
